season,matchweek,home,visitor,result
2001_2002,1,Málaga,Betis,3-2
2001_2002,1,Valencia,R. Madrid,1-0
2001_2002,1,Deportivo,Valladolid,4-0
2001_2002,1,Mallorca,Las Palmas,0-3
2001_2002,1,Espanyol,Zaragoza,2-1
2001_2002,1,Tenerife,Alavés,0-2
2001_2002,1,Osasuna,Celta,0-3
2001_2002,1,Rayo,Villarreal,1-2
2001_2002,1,Sevilla,Barcelona,1-2
2001_2002,1,R. Sociedad,Athletic,1-3
2001_2002,2,Betis,Espanyol,2-0
2001_2002,2,R. Madrid,Málaga,1-1
2001_2002,2,Valladolid,Valencia,1-1
2001_2002,2,Las Palmas,Deportivo,0-1
2001_2002,2,Zaragoza,Sevilla,1-1
2001_2002,2,Alavés,R. Sociedad,2-0
2001_2002,2,Celta,Tenerife,3-0
2001_2002,2,Villarreal,Osasuna,3-0
2001_2002,2,Barcelona,Rayo,1-1
2001_2002,2,Athletic,Mallorca,0-1
2001_2002,3,Betis,R. Madrid,3-1
2001_2002,3,Málaga,Valladolid,1-2
2001_2002,3,Valencia,Las Palmas,1-0
2001_2002,3,Deportivo,Athletic,1-2
2001_2002,3,Espanyol,Sevilla,2-3
2001_2002,3,R. Sociedad,Celta,0-0
2001_2002,3,Tenerife,Villarreal,2-0
2001_2002,3,Osasuna,Barcelona,0-0
2001_2002,3,Rayo,Zaragoza,1-2
2001_2002,3,Mallorca,Alavés,0-0
2001_2002,4,R. Madrid,Espanyol,5-1
2001_2002,4,Valladolid,Betis,0-2
2001_2002,4,Las Palmas,Málaga,0-0
2001_2002,4,Athletic,Valencia,2-2
2001_2002,4,Sevilla,Rayo,2-1
2001_2002,4,Celta,Mallorca,2-0
2001_2002,4,Villarreal,R. Sociedad,1-0
2001_2002,4,Barcelona,Tenerife,2-0
2001_2002,4,Zaragoza,Osasuna,0-1
2001_2002,4,Alavés,Deportivo,2-3
2001_2002,5,R. Madrid,Valladolid,2-2
2001_2002,5,Betis,Las Palmas,1-0
2001_2002,5,Málaga,Athletic,1-2
2001_2002,5,Valencia,Alavés,0-0
2001_2002,5,Espanyol,Rayo,3-1
2001_2002,5,Mallorca,Villarreal,0-1
2001_2002,5,R. Sociedad,Barcelona,0-2
2001_2002,5,Tenerife,Zaragoza,0-0
2001_2002,5,Osasuna,Sevilla,1-0
2001_2002,5,Deportivo,Celta,2-2
2001_2002,6,Zaragoza,R. Sociedad,3-2
2001_2002,6,Sevilla,Tenerife,2-0
2001_2002,6,Rayo,Osasuna,0-1
2001_2002,6,Valladolid,Espanyol,0-1
2001_2002,6,Barcelona,Mallorca,3-0
2001_2002,6,Athletic,Betis,0-0
2001_2002,6,Alavés,Málaga,1-0
2001_2002,6,Celta,Valencia,1-1
2001_2002,6,Villarreal,Deportivo,1-1
2001_2002,6,Las Palmas,R. Madrid,4-2
2001_2002,7,Valladolid,Las Palmas,1-0
2001_2002,7,R. Madrid,Athletic,2-0
2001_2002,7,Betis,Alavés,1-0
2001_2002,7,Málaga,Celta,2-2
2001_2002,7,Espanyol,Osasuna,1-1
2001_2002,7,Deportivo,Barcelona,2-1
2001_2002,7,Mallorca,Zaragoza,0-1
2001_2002,7,R. Sociedad,Sevilla,3-3
2001_2002,7,Tenerife,Rayo,3-1
2001_2002,7,Valencia,Villarreal,1-0
2001_2002,8,Las Palmas,Espanyol,2-0
2001_2002,8,Athletic,Valladolid,1-4
2001_2002,8,Alavés,R. Madrid,0-0
2001_2002,8,Celta,Betis,3-1
2001_2002,8,Osasuna,Tenerife,0-2
2001_2002,8,Barcelona,Valencia,2-2
2001_2002,8,Zaragoza,Deportivo,1-2
2001_2002,8,Sevilla,Mallorca,2-2
2001_2002,8,Rayo,R. Sociedad,2-1
2001_2002,8,Villarreal,Málaga,1-2
2001_2002,9,Las Palmas,Athletic,1-1
2001_2002,9,Valladolid,Alavés,1-3
2001_2002,9,R. Madrid,Celta,1-1
2001_2002,9,Betis,Villarreal,1-1
2001_2002,9,Espanyol,Tenerife,2-0
2001_2002,9,Valencia,Zaragoza,2-0
2001_2002,9,Deportivo,Sevilla,1-0
2001_2002,9,Mallorca,Rayo,3-0
2001_2002,9,R. Sociedad,Osasuna,2-1
2001_2002,9,Málaga,Barcelona,1-1
2001_2002,10,Athletic,Espanyol,1-1
2001_2002,10,Alavés,Las Palmas,1-0
2001_2002,10,Celta,Valladolid,1-1
2001_2002,10,Villarreal,R. Madrid,2-3
2001_2002,10,Tenerife,R. Sociedad,0-1
2001_2002,10,Zaragoza,Málaga,0-2
2001_2002,10,Sevilla,Valencia,1-1
2001_2002,10,Rayo,Deportivo,2-1
2001_2002,10,Osasuna,Mallorca,4-0
2001_2002,10,Barcelona,Betis,3-0
2001_2002,11,Athletic,Alavés,2-1
2001_2002,11,Las Palmas,Celta,4-2
2001_2002,11,Valladolid,Villarreal,1-0
2001_2002,11,R. Madrid,Barcelona,2-0
2001_2002,11,Espanyol,R. Sociedad,1-2
2001_2002,11,Málaga,Sevilla,1-3
2001_2002,11,Valencia,Rayo,2-1
2001_2002,11,Deportivo,Osasuna,5-1
2001_2002,11,Mallorca,Tenerife,2-0
2001_2002,11,Betis,Zaragoza,0-1
2001_2002,12,Alavés,Espanyol,2-1
2001_2002,12,Celta,Athletic,2-3
2001_2002,12,Villarreal,Las Palmas,2-0
2001_2002,12,Barcelona,Valladolid,4-0
2001_2002,12,R. Sociedad,Mallorca,1-2
2001_2002,12,Sevilla,Betis,0-0
2001_2002,12,Rayo,Málaga,3-0
2001_2002,12,Osasuna,Valencia,0-0
2001_2002,12,Tenerife,Deportivo,3-1
2001_2002,12,Zaragoza,R. Madrid,2-1
2001_2002,13,Alavés,Celta,1-0
2001_2002,13,Athletic,Villarreal,0-0
2001_2002,13,Las Palmas,Barcelona,0-0
2001_2002,13,Valladolid,Zaragoza,2-0
2001_2002,13,Espanyol,Mallorca,2-1
2001_2002,13,Betis,Rayo,2-0
2001_2002,13,Málaga,Osasuna,2-1
2001_2002,13,Valencia,Tenerife,0-0
2001_2002,13,Deportivo,R. Sociedad,3-1
2001_2002,13,R. Madrid,Sevilla,2-1
2001_2002,14,Celta,Espanyol,4-1
2001_2002,14,Villarreal,Alavés,1-0
2001_2002,14,Barcelona,Athletic,1-2
2001_2002,14,Zaragoza,Las Palmas,2-1
2001_2002,14,Mallorca,Deportivo,4-1
2001_2002,14,Rayo,R. Madrid,0-3
2001_2002,14,Osasuna,Betis,1-2
2001_2002,14,Tenerife,Málaga,1-0
2001_2002,14,R. Sociedad,Valencia,2-0
2001_2002,14,Sevilla,Valladolid,4-0
2001_2002,15,Celta,Villarreal,3-1
2001_2002,15,Alavés,Barcelona,2-0
2001_2002,15,Athletic,Zaragoza,2-1
2001_2002,15,Las Palmas,Sevilla,1-0
2001_2002,15,Espanyol,Deportivo,1-0
2001_2002,15,R. Madrid,Osasuna,2-1
2001_2002,15,Betis,Tenerife,1-0
2001_2002,15,Málaga,R. Sociedad,1-0
2001_2002,15,Valencia,Mallorca,1-1
2001_2002,15,Valladolid,Rayo,3-1
2001_2002,16,Villarreal,Espanyol,1-1
2001_2002,16,Barcelona,Celta,2-2
2001_2002,16,Zaragoza,Alavés,0-2
2001_2002,16,Sevilla,Athletic,3-3
2001_2002,16,Deportivo,Valencia,1-0
2001_2002,16,Osasuna,Valladolid,1-0
2001_2002,16,Tenerife,R. Madrid,0-2
2001_2002,16,R. Sociedad,Betis,0-0
2001_2002,16,Mallorca,Málaga,1-1
2001_2002,16,Rayo,Las Palmas,0-0
2001_2002,17,Villarreal,Barcelona,0-1
2001_2002,17,Celta,Zaragoza,2-0
2001_2002,17,Alavés,Sevilla,0-1
2001_2002,17,Athletic,Rayo,1-1
2001_2002,17,Espanyol,Valencia,2-3
2001_2002,17,Valladolid,Tenerife,0-0
2001_2002,17,R. Madrid,R. Sociedad,3-1
2001_2002,17,Betis,Mallorca,1-0
2001_2002,17,Málaga,Deportivo,1-1
2001_2002,17,Las Palmas,Osasuna,1-1
2001_2002,18,Espanyol,Barcelona,2-0
2001_2002,18,Zaragoza,Villarreal,3-2
2001_2002,18,Sevilla,Celta,0-1
2001_2002,18,Rayo,Alavés,2-0
2001_2002,18,Valencia,Málaga,2-1
2001_2002,18,Tenerife,Las Palmas,1-3
2001_2002,18,R. Sociedad,Valladolid,6-0
2001_2002,18,Mallorca,R. Madrid,1-1
2001_2002,18,Deportivo,Betis,2-0
2001_2002,18,Osasuna,Athletic,0-1
2001_2002,19,Barcelona,Zaragoza,2-0
2001_2002,19,Villarreal,Sevilla,0-2
2001_2002,19,Celta,Rayo,2-2
2001_2002,19,Alavés,Osasuna,0-2
2001_2002,19,Málaga,Espanyol,2-0
2001_2002,19,Las Palmas,R. Sociedad,0-0
2001_2002,19,Valladolid,Mallorca,2-1
2001_2002,19,R. Madrid,Deportivo,3-1
2001_2002,19,Betis,Valencia,1-3
2001_2002,19,Athletic,Tenerife,1-2
2001_2002,20,Athletic,R. Sociedad,2-1
2001_2002,20,R. Madrid,Valencia,1-0
2001_2002,20,Las Palmas,Mallorca,3-1
2001_2002,20,Zaragoza,Espanyol,0-0
2001_2002,20,Betis,Málaga,1-1
2001_2002,20,Celta,Osasuna,1-1
2001_2002,20,Villarreal,Rayo,1-1
2001_2002,20,Barcelona,Sevilla,3-1
2001_2002,20,Valladolid,Deportivo,3-0
2001_2002,20,Alavés,Tenerife,1-0
2001_2002,21,Málaga,R. Madrid,1-1
2001_2002,21,R. Sociedad,Alavés,1-2
2001_2002,21,Deportivo,Las Palmas,1-0
2001_2002,21,Sevilla,Zaragoza,4-2
2001_2002,21,Tenerife,Celta,1-1
2001_2002,21,Osasuna,Villarreal,2-2
2001_2002,21,Rayo,Barcelona,2-1
2001_2002,21,Valencia,Valladolid,1-2
2001_2002,21,Espanyol,Betis,1-1
2001_2002,21,Mallorca,Athletic,3-0
2001_2002,22,Las Palmas,Valencia,0-1
2001_2002,22,Celta,R. Sociedad,3-1
2001_2002,22,Athletic,Deportivo,1-1
2001_2002,22,Sevilla,Espanyol,3-0
2001_2002,22,Villarreal,Tenerife,2-1
2001_2002,22,Barcelona,Osasuna,0-1
2001_2002,22,Zaragoza,Rayo,3-2
2001_2002,22,Valladolid,Málaga,0-0
2001_2002,22,R. Madrid,Betis,1-1
2001_2002,22,Alavés,Mallorca,0-4
2001_2002,23,Deportivo,Alavés,0-1
2001_2002,23,Tenerife,Barcelona,0-6
2001_2002,23,R. Sociedad,Villarreal,2-1
2001_2002,23,Mallorca,Celta,0-1
2001_2002,23,Rayo,Sevilla,2-1
2001_2002,23,Osasuna,Zaragoza,0-0
2001_2002,23,Valencia,Athletic,2-1
2001_2002,23,Málaga,Las Palmas,1-1
2001_2002,23,Betis,Valladolid,2-0
2001_2002,23,Espanyol,R. Madrid,2-1
2001_2002,24,Celta,Deportivo,0-2
2001_2002,24,Villarreal,Mallorca,2-1
2001_2002,24,Athletic,Málaga,3-2
2001_2002,24,Alavés,Valencia,1-2
2001_2002,24,Rayo,Espanyol,2-2
2001_2002,24,Valladolid,R. Madrid,2-1
2001_2002,24,Barcelona,R. Sociedad,2-0
2001_2002,24,Zaragoza,Tenerife,1-1
2001_2002,24,Sevilla,Osasuna,0-0
2001_2002,24,Las Palmas,Betis,0-0
2001_2002,25,Valencia,Celta,0-0
2001_2002,25,Mallorca,Barcelona,0-0
2001_2002,25,Betis,Athletic,1-1
2001_2002,25,Málaga,Alavés,1-0
2001_2002,25,Osasuna,Rayo,1-0
2001_2002,25,Deportivo,Villarreal,0-0
2001_2002,25,Tenerife,Sevilla,1-1
2001_2002,25,R. Sociedad,Zaragoza,3-1
2001_2002,25,R. Madrid,Las Palmas,7-0
2001_2002,25,Espanyol,Valladolid,1-0
2001_2002,26,Villarreal,Valencia,1-1
2001_2002,26,Barcelona,Deportivo,3-2
2001_2002,26,Athletic,R. Madrid,2-1
2001_2002,26,Celta,Málaga,0-0
2001_2002,26,Osasuna,Espanyol,1-1
2001_2002,26,Rayo,Tenerife,2-0
2001_2002,26,Zaragoza,Mallorca,1-0
2001_2002,26,Alavés,Betis,0-1
2001_2002,26,Sevilla,R. Sociedad,0-1
2001_2002,26,Las Palmas,Valladolid,1-1
2001_2002,27,Valencia,Barcelona,2-0
2001_2002,27,Deportivo,Zaragoza,1-0
2001_2002,27,R. Madrid,Alavés,3-1
2001_2002,27,Málaga,Villarreal,2-1
2001_2002,27,Espanyol,Las Palmas,3-1
2001_2002,27,Tenerife,Osasuna,3-1
2001_2002,27,Mallorca,Sevilla,0-4
2001_2002,27,Betis,Celta,4-1
2001_2002,27,R. Sociedad,Rayo,2-2
2001_2002,27,Valladolid,Athletic,2-0
2001_2002,28,Sevilla,Deportivo,0-1
2001_2002,28,Villarreal,Betis,1-1
2001_2002,28,Celta,R. Madrid,0-1
2001_2002,28,Zaragoza,Valencia,0-1
2001_2002,28,Alavés,Valladolid,3-1
2001_2002,28,Barcelona,Málaga,5-1
2001_2002,28,Tenerife,Espanyol,1-1
2001_2002,28,Osasuna,R. Sociedad,1-1
2001_2002,28,Rayo,Mallorca,0-2
2001_2002,28,Athletic,Las Palmas,3-1
2001_2002,29,Betis,Barcelona,2-1
2001_2002,29,Deportivo,Rayo,1-1
2001_2002,29,R. Madrid,Villarreal,3-0
2001_2002,29,Las Palmas,Alavés,2-1
2001_2002,29,R. Sociedad,Tenerife,0-2
2001_2002,29,Málaga,Zaragoza,2-1
2001_2002,29,Mallorca,Osasuna,4-2
2001_2002,29,Valladolid,Celta,2-4
2001_2002,29,Valencia,Sevilla,2-0
2001_2002,29,Espanyol,Athletic,2-0
2001_2002,30,Barcelona,R. Madrid,1-1
2001_2002,30,Osasuna,Deportivo,1-3
2001_2002,30,Villarreal,Valladolid,2-2
2001_2002,30,R. Sociedad,Espanyol,1-0
2001_2002,30,Sevilla,Málaga,0-2
2001_2002,30,Rayo,Valencia,2-1
2001_2002,30,Tenerife,Mallorca,0-0
2001_2002,30,Celta,Las Palmas,3-2
2001_2002,30,Alavés,Athletic,2-3
2001_2002,30,Zaragoza,Betis,1-1
2001_2002,31,Betis,Sevilla,0-0
2001_2002,31,Las Palmas,Villarreal,3-2
2001_2002,31,Málaga,Rayo,0-0
2001_2002,31,Mallorca,R. Sociedad,0-2
2001_2002,31,Valencia,Osasuna,2-1
2001_2002,31,Deportivo,Tenerife,3-1
2001_2002,31,Valladolid,Barcelona,1-2
2001_2002,31,Athletic,Celta,1-6
2001_2002,31,Espanyol,Alavés,1-2
2001_2002,31,R. Madrid,Zaragoza,3-1
2001_2002,32,Celta,Alavés,3-1
2001_2002,32,Sevilla,R. Madrid,0-1
2001_2002,32,R. Sociedad,Deportivo,1-1
2001_2002,32,Tenerife,Valencia,0-1
2001_2002,32,Barcelona,Las Palmas,1-1
2001_2002,32,Rayo,Betis,0-0
2001_2002,32,Mallorca,Espanyol,2-1
2001_2002,32,Zaragoza,Valladolid,0-0
2001_2002,32,Osasuna,Málaga,0-2
2001_2002,32,Villarreal,Athletic,5-2
2001_2002,33,Deportivo,Mallorca,5-0
2001_2002,33,Las Palmas,Zaragoza,1-1
2001_2002,33,Athletic,Barcelona,0-2
2001_2002,33,R. Madrid,Rayo,3-1
2001_2002,33,Valencia,R. Sociedad,4-0
2001_2002,33,Málaga,Tenerife,2-0
2001_2002,33,Betis,Osasuna,0-0
2001_2002,33,Alavés,Villarreal,2-1
2001_2002,33,Espanyol,Celta,2-0
2001_2002,33,Valladolid,Sevilla,1-1
2001_2002,34,Mallorca,Valencia,1-1
2001_2002,34,Barcelona,Alavés,3-2
2001_2002,34,Zaragoza,Athletic,2-2
2001_2002,34,Sevilla,Las Palmas,1-1
2001_2002,34,Deportivo,Espanyol,3-1
2001_2002,34,Osasuna,R. Madrid,3-1
2001_2002,34,Tenerife,Betis,2-1
2001_2002,34,R. Sociedad,Málaga,2-1
2001_2002,34,Villarreal,Celta,2-1
2001_2002,34,Rayo,Valladolid,1-0
2001_2002,35,Celta,Barcelona,2-1
2001_2002,35,Las Palmas,Rayo,0-2
2001_2002,35,R. Madrid,Tenerife,4-1
2001_2002,35,Espanyol,Villarreal,3-1
2001_2002,35,Valladolid,Osasuna,1-0
2001_2002,35,Alavés,Zaragoza,2-1
2001_2002,35,Athletic,Sevilla,0-1
2001_2002,35,Valencia,Deportivo,2-0
2001_2002,35,Málaga,Mallorca,0-0
2001_2002,35,Betis,R. Sociedad,3-0
2001_2002,36,Barcelona,Villarreal,4-1
2001_2002,36,Valencia,Espanyol,2-1
2001_2002,36,R. Sociedad,R. Madrid,3-1
2001_2002,36,Tenerife,Valladolid,1-5
2001_2002,36,Mallorca,Betis,1-3
2001_2002,36,Deportivo,Málaga,2-2
2001_2002,36,Rayo,Athletic,4-2
2001_2002,36,Sevilla,Alavés,2-0
2001_2002,36,Zaragoza,Celta,0-1
2001_2002,36,Osasuna,Las Palmas,4-2
2001_2002,37,Barcelona,Espanyol,2-0
2001_2002,37,Villarreal,Zaragoza,2-1
2001_2002,37,Celta,Sevilla,1-2
2001_2002,37,Alavés,Rayo,0-1
2001_2002,37,Málaga,Valencia,0-2
2001_2002,37,Las Palmas,Tenerife,0-1
2001_2002,37,Valladolid,R. Sociedad,1-3
2001_2002,37,R. Madrid,Mallorca,0-0
2001_2002,37,Betis,Deportivo,0-3
2001_2002,37,Athletic,Osasuna,1-1
2001_2002,38,Deportivo,R. Madrid,3-0
2001_2002,38,Espanyol,Málaga,1-2
2001_2002,38,R. Sociedad,Las Palmas,1-1
2001_2002,38,Tenerife,Athletic,2-3
2001_2002,38,Valencia,Betis,2-0
2001_2002,38,Zaragoza,Barcelona,1-1
2001_2002,38,Mallorca,Valladolid,2-1
2001_2002,38,Rayo,Celta,1-0
2001_2002,38,Sevilla,Villarreal,1-0
2001_2002,38,Osasuna,Alavés,0-1
2002_2003,1,Recreativo,Málaga,2-3
2002_2003,1,Mallorca,Valencia,0-2
2002_2003,1,Sevilla,Celta,0-1
2002_2003,1,Barcelona,Atlético,2-2
2002_2003,1,Rayo,Alavés,2-2
2002_2003,1,R. Sociedad,Athletic,4-2
2002_2003,1,Villarreal,Osasuna,2-2
2002_2003,1,Deportivo,Betis,2-4
2002_2003,1,R. Madrid,Espanyol,2-0
2002_2003,1,Racing,Valladolid,0-1
2002_2003,2,Betis,R. Madrid,1-1
2002_2003,2,Valencia,Recreativo,3-0
2002_2003,2,Málaga,Rayo,2-1
2002_2003,2,Athletic,Barcelona,0-2
2002_2003,2,Osasuna,Deportivo,1-2
2002_2003,2,Espanyol,R. Sociedad,1-3
2002_2003,2,Celta,Mallorca,3-1
2002_2003,2,Valladolid,Villarreal,1-0
2002_2003,2,Alavés,Racing,0-1
2002_2003,2,Atlético,Sevilla,1-1
2002_2003,3,R. Madrid,Osasuna,4-1
2002_2003,3,Barcelona,Espanyol,2-0
2002_2003,3,Deportivo,Valladolid,2-0
2002_2003,3,Mallorca,Atlético,0-4
2002_2003,3,Sevilla,Athletic,1-1
2002_2003,3,Rayo,Racing,3-1
2002_2003,3,Málaga,Valencia,2-2
2002_2003,3,Villarreal,Alavés,0-1
2002_2003,3,Recreativo,Celta,0-3
2002_2003,3,R. Sociedad,Betis,3-3
2002_2003,4,Alavés,Deportivo,1-2
2002_2003,4,Valladolid,R. Madrid,1-1
2002_2003,4,Betis,Barcelona,3-0
2002_2003,4,Racing,Villarreal,1-1
2002_2003,4,Athletic,Mallorca,0-2
2002_2003,4,Atlético,Recreativo,1-1
2002_2003,4,Celta,Málaga,2-2
2002_2003,4,Espanyol,Sevilla,0-0
2002_2003,4,Osasuna,R. Sociedad,2-3
2002_2003,4,Valencia,Rayo,3-0
2002_2003,5,Recreativo,Athletic,1-2
2002_2003,5,R. Madrid,Alavés,5-2
2002_2003,5,R. Sociedad,Valladolid,2-1
2002_2003,5,Málaga,Atlético,3-1
2002_2003,5,Barcelona,Osasuna,2-2
2002_2003,5,Deportivo,Racing,0-2
2002_2003,5,Mallorca,Espanyol,2-0
2002_2003,5,Valencia,Celta,0-1
2002_2003,5,Rayo,Villarreal,2-2
2002_2003,5,Sevilla,Betis,1-1
2002_2003,6,Villarreal,Deportivo,3-1
2002_2003,6,Racing,R. Madrid,2-0
2002_2003,6,Atlético,Valencia,1-1
2002_2003,6,Betis,Mallorca,0-1
2002_2003,6,Athletic,Málaga,1-1
2002_2003,6,Osasuna,Sevilla,2-1
2002_2003,6,Alavés,R. Sociedad,2-2
2002_2003,6,Celta,Rayo,0-1
2002_2003,6,Espanyol,Recreativo,2-0
2002_2003,6,Valladolid,Barcelona,2-1
2002_2003,7,Recreativo,Betis,1-1
2002_2003,7,R. Madrid,Villarreal,1-1
2002_2003,7,Rayo,Deportivo,1-2
2002_2003,7,Valencia,Athletic,5-1
2002_2003,7,Barcelona,Alavés,6-1
2002_2003,7,Celta,Atlético,0-0
2002_2003,7,Sevilla,Valladolid,2-1
2002_2003,7,Málaga,Espanyol,3-4
2002_2003,7,Mallorca,Osasuna,2-0
2002_2003,7,R. Sociedad,Racing,2-1
2002_2003,8,Valladolid,Mallorca,1-3
2002_2003,8,Atlético,Rayo,2-0
2002_2003,8,Deportivo,R. Madrid,0-0
2002_2003,8,Betis,Málaga,3-0
2002_2003,8,Espanyol,Valencia,0-1
2002_2003,8,Athletic,Celta,2-1
2002_2003,8,Osasuna,Recreativo,0-1
2002_2003,8,Villarreal,R. Sociedad,0-1
2002_2003,8,Alavés,Sevilla,1-0
2002_2003,8,Racing,Barcelona,1-1
2002_2003,9,Málaga,Osasuna,1-0
2002_2003,9,R. Sociedad,Deportivo,1-1
2002_2003,9,Rayo,R. Madrid,2-3
2002_2003,9,Barcelona,Villarreal,1-0
2002_2003,9,Valencia,Betis,1-1
2002_2003,9,Sevilla,Racing,1-0
2002_2003,9,Mallorca,Alavés,3-1
2002_2003,9,Celta,Espanyol,1-0
2002_2003,9,Recreativo,Valladolid,1-3
2002_2003,9,Atlético,Athletic,3-3
2002_2003,10,Villarreal,Sevilla,1-0
2002_2003,10,Deportivo,Barcelona,2-0
2002_2003,10,Alavés,Recreativo,3-0
2002_2003,10,Racing,Mallorca,1-2
2002_2003,10,Osasuna,Valencia,1-0
2002_2003,10,Athletic,Rayo,2-1
2002_2003,10,Espanyol,Atlético,1-2
2002_2003,10,Valladolid,Málaga,0-0
2002_2003,10,R. Madrid,R. Sociedad,0-0
2002_2003,10,Betis,Celta,2-1
2002_2003,11,Sevilla,Deportivo,1-1
2002_2003,11,Barcelona,R. Madrid,0-0
2002_2003,11,Rayo,R. Sociedad,0-0
2002_2003,11,Recreativo,Racing,2-1
2002_2003,11,Mallorca,Villarreal,1-1
2002_2003,11,Valencia,Valladolid,2-0
2002_2003,11,Celta,Osasuna,0-0
2002_2003,11,Athletic,Espanyol,4-1
2002_2003,11,Málaga,Alavés,0-0
2002_2003,11,Atlético,Betis,1-0
2002_2003,12,Espanyol,Rayo,3-1
2002_2003,12,Betis,Athletic,1-0
2002_2003,12,Alavés,Valencia,0-0
2002_2003,12,Villarreal,Recreativo,1-0
2002_2003,12,Racing,Málaga,1-0
2002_2003,12,Valladolid,Celta,0-2
2002_2003,12,R. Sociedad,Barcelona,2-1
2002_2003,12,Deportivo,Mallorca,2-2
2002_2003,12,R. Madrid,Sevilla,3-0
2002_2003,12,Osasuna,Atlético,1-0
2002_2003,13,Recreativo,Deportivo,1-1
2002_2003,13,Málaga,Villarreal,1-1
2002_2003,13,Rayo,Barcelona,1-0
2002_2003,13,Valencia,Racing,2-0
2002_2003,13,Sevilla,R. Sociedad,0-1
2002_2003,13,Athletic,Osasuna,1-3
2002_2003,13,Espanyol,Betis,2-4
2002_2003,13,Celta,Alavés,2-1
2002_2003,13,Mallorca,R. Madrid,1-5
2002_2003,13,Atlético,Valladolid,1-0
2002_2003,14,Alavés,Atlético,2-0
2002_2003,14,Villarreal,Valencia,0-2
2002_2003,14,Valladolid,Athletic,2-0
2002_2003,14,Osasuna,Espanyol,1-0
2002_2003,14,Betis,Rayo,0-1
2002_2003,14,Racing,Celta,3-0
2002_2003,14,R. Sociedad,Mallorca,2-1
2002_2003,14,Deportivo,Málaga,1-0
2002_2003,14,R. Madrid,Recreativo,4-2
2002_2003,14,Barcelona,Sevilla,0-3
2002_2003,15,Atlético,Racing,1-2
2002_2003,15,Málaga,R. Madrid,2-3
2002_2003,15,Athletic,Alavés,2-0
2002_2003,15,Celta,Villarreal,3-1
2002_2003,15,Rayo,Sevilla,0-1
2002_2003,15,Mallorca,Barcelona,0-4
2002_2003,15,Betis,Osasuna,2-1
2002_2003,15,Recreativo,R. Sociedad,1-3
2002_2003,15,Espanyol,Valladolid,1-0
2002_2003,15,Valencia,Deportivo,0-1
2002_2003,16,Valladolid,Betis,3-0
2002_2003,16,Osasuna,Rayo,0-1
2002_2003,16,Racing,Athletic,3-4
2002_2003,16,Deportivo,Celta,3-0
2002_2003,16,Sevilla,Mallorca,3-0
2002_2003,16,R. Sociedad,Málaga,2-2
2002_2003,16,Alavés,Espanyol,2-1
2002_2003,16,Villarreal,Atlético,4-3
2002_2003,16,Barcelona,Recreativo,3-0
2002_2003,16,R. Madrid,Valencia,4-1
2002_2003,17,Celta,R. Madrid,0-1
2002_2003,17,Valencia,R. Sociedad,2-2
2002_2003,17,Osasuna,Valladolid,1-1
2002_2003,17,Betis,Alavés,2-2
2002_2003,17,Espanyol,Racing,3-0
2002_2003,17,Athletic,Villarreal,0-1
2002_2003,17,Rayo,Mallorca,1-2
2002_2003,17,Recreativo,Sevilla,0-0
2002_2003,17,Atlético,Deportivo,3-1
2002_2003,17,Málaga,Barcelona,0-0
2002_2003,18,R. Sociedad,Celta,1-0
2002_2003,18,Barcelona,Valencia,2-4
2002_2003,18,Sevilla,Málaga,0-0
2002_2003,18,Mallorca,Recreativo,1-1
2002_2003,18,Deportivo,Athletic,2-1
2002_2003,18,Rayo,Valladolid,0-1
2002_2003,18,Alavés,Osasuna,1-1
2002_2003,18,Racing,Betis,0-1
2002_2003,18,Villarreal,Espanyol,0-0
2002_2003,18,R. Madrid,Atlético,2-2
2002_2003,19,Atlético,R. Sociedad,1-2
2002_2003,19,Valladolid,Alavés,1-3
2002_2003,19,Osasuna,Racing,3-1
2002_2003,19,Betis,Villarreal,2-1
2002_2003,19,Espanyol,Deportivo,3-1
2002_2003,19,Recreativo,Rayo,2-1
2002_2003,19,Valencia,Sevilla,1-0
2002_2003,19,Málaga,Mallorca,1-0
2002_2003,19,Athletic,R. Madrid,1-1
2002_2003,19,Celta,Barcelona,2-0
2002_2003,20,Atlético,Barcelona,3-0
2002_2003,20,Celta,Sevilla,0-1
2002_2003,20,Valencia,Mallorca,1-0
2002_2003,20,Alavés,Rayo,1-1
2002_2003,20,Osasuna,Villarreal,0-1
2002_2003,20,Valladolid,Racing,2-1
2002_2003,20,Betis,Deportivo,0-2
2002_2003,20,Málaga,Recreativo,4-0
2002_2003,20,Espanyol,R. Madrid,2-2
2002_2003,20,Athletic,R. Sociedad,3-0
2002_2003,21,Villarreal,Valladolid,1-0
2002_2003,21,R. Madrid,Betis,4-1
2002_2003,21,Mallorca,Celta,0-2
2002_2003,21,R. Sociedad,Espanyol,0-0
2002_2003,21,Recreativo,Valencia,1-1
2002_2003,21,Rayo,Málaga,2-1
2002_2003,21,Racing,Alavés,2-0
2002_2003,21,Deportivo,Osasuna,1-1
2002_2003,21,Sevilla,Atlético,1-1
2002_2003,21,Barcelona,Athletic,2-2
2002_2003,22,Espanyol,Barcelona,0-2
2002_2003,22,Valencia,Málaga,2-0
2002_2003,22,Valladolid,Deportivo,0-1
2002_2003,22,Celta,Recreativo,4-1
2002_2003,22,Athletic,Sevilla,2-0
2002_2003,22,Racing,Rayo,2-0
2002_2003,22,Osasuna,R. Madrid,1-0
